symbol,name,bucket,ann,vol,sharpe,mdd,sub_ann,sub_sharpe,win,corr_gold,corr_bond
519942,长信利率C,其他,-0.02456984265456541,0.041757194588672504,-1.075584632719209,-0.1409345481902532,-0.024382680041912907,-1.1650455462299492,0.55,,
005048,南华瑞扬纯债C,其他,0.020198549036922087,0.0057052111526441325,0.13485122895855173,-0.007163192212324421,0.011829466639942332,-1.1683978825191619,0.7666666666666667,,
011974,新华中债1-5年农发行C,其他,0.01332098353659572,0.01718949732575671,-0.34681035745294475,-0.023913253945202828,0.0013633764978033813,-1.1719155853558274,0.7457627118644068,,
005839,创金合信中债1-3年政金债C,其他,0.003263214676902937,0.021922267733569936,-0.7470096847219655,-0.05459288242966276,0.0006412894384193457,-1.1733742309148973,0.7666666666666667,,
010283,中信建投智享生活混合C,其他,-0.2357673571899508,0.30147431887114984,-0.8401914612874303,-0.7597757817248598,-0.3186838408744328,-1.173757049873193,0.4166666666666667,,
011240,东吴行业轮动混合C,其他,-0.2214510521583487,0.24959921540471552,-0.9914520912325412,-0.7174987095346951,-0.22095832998261755,-1.181097824645416,0.31666666666666665,,
010973,博时聚源纯债债券C,其他,0.0017807337450561622,0.02320578813140155,-0.7705717929927307,-0.04685092886270947,-0.014275944207429392,-1.1900864654598193,0.5833333333333334,,
009785,安信尊享添利利率债C,短债/利率,-0.005276153875932943,0.03739835456953938,-0.6624288960551272,-0.07624524626658014,-0.02965841563079752,-1.1904724977528705,0.7166666666666667,,
022013,宏利鑫享90天持有债券C,其他,0.016509302408054705,0.0035756884170619722,-0.739543936167183,-0.001789442290486165,0.015294581035610433,-1.1919710903303307,0.9545454545454546,,
020570,建信宁远90天持有期债券C,其他,0.007431303240418963,0.02202466039807845,-0.5270132540185724,-0.032668935342732075,-0.005255120845692907,-1.192569694711661,0.6333333333333333,,
660102,农银恒久增利债券C,其他,-0.017542025393680327,0.037274570669008356,-1.0101471384318956,-0.10228781135316622,-0.027500884343773846,-1.1981649212559788,0.5666666666666667,,
017159,融通增鑫债券C,其他,0.023100805493767806,0.012126035483817013,0.3045786664843943,-0.021885370885281197,0.0006019908037198096,-1.2011951307887254,0.7777777777777778,,
013858,信澳优享债券C,其他,0.0052912912685672,0.024134777001059017,-0.582419420785243,-0.036849642004773475,-0.012152133995432579,-1.2015070294602108,0.7142857142857143,,
016405,大成景泽中短债债券C,短债/利率,0.005946535903655015,0.019045007199374932,-0.7149291231838819,-0.029669075694180425,-0.00854108518217278,-1.2034872066868056,0.6808510638297872,,
015943,上银慧享利30天滚动持有中短债发起C,短债/利率,0.027635901103312044,0.0035815226232424275,2.3004382118546594,-0.003699935251133102,0.017482064496927574,-1.2045741957688987,0.96,,
011116,海富通利率债债券C,短债/利率,0.011742203783339233,0.023433988740639865,-0.3247580735027467,-0.03566162919277549,-0.009714679801760884,-1.2062123136178033,0.6666666666666666,,
021111,信澳中债0-3年政策性金融债指数C,金融地产,0.013018239963753508,0.04671876687320792,-0.11651536231894297,-0.06202343314115677,-0.025691043452600426,-1.20816267967954,0.6296296296296297,,
008841,德邦大消费混合C,消费,-0.12761952227233164,0.23140977876721755,-0.5828169358280966,-0.6012437115707099,-0.237670584085099,-1.209191658806261,0.35,,
020051,英大安华纯债债券C,其他,0.018519910616784818,0.015427726141343497,-0.056408916812093736,-0.02036349795413439,0.0017891541356649387,-1.20957998774642,0.6363636363636364,,
